Hour,Season,Cost
0,SPRING,43.79152174
1,SPRING,40.4848913
2,SPRING,38.56782609
3,SPRING,39.05347826
4,SPRING,42.4976087
5,SPRING,48.43173913
6,SPRING,56.2323913
7,SPRING,63.04206522
8,SPRING,61.49641304
9,SPRING,58.24630435
10,SPRING,55.37717391
11,SPRING,51.71086957
12,SPRING,48.33880435
13,SPRING,47.9226087
14,SPRING,50.16619565
15,SPRING,53.26456522
16,SPRING,54.68065217
17,SPRING,57.84847826
18,SPRING,66.26130435
19,SPRING,70.47434783
20,SPRING,63.02195652
21,SPRING,56.39880435
22,SPRING,51.43978261
23,SPRING,48.43630435
0,SUMMER,57.24847826
1,SUMMER,54.1075
2,SUMMER,52.35195652
3,SUMMER,52.21402174
4,SUMMER,53.5975
5,SUMMER,57.72945652
6,SUMMER,60.32108696
7,SUMMER,63.12086957
8,SUMMER,63.40347826
9,SUMMER,62.52836957
10,SUMMER,61.35467391
11,SUMMER,58.35054348
12,SUMMER,57.58119565
13,SUMMER,59.09793478
14,SUMMER,60.60402174
15,SUMMER,63.17336957
16,SUMMER,63.82576087
17,SUMMER,65.45532609
18,SUMMER,67.84032609
19,SUMMER,68.1751087
20,SUMMER,67.53445652
21,SUMMER,64.61956522
22,SUMMER,60.71923913
23,SUMMER,61.02456522
0,FALL,65.32153846
1,FALL,62.77703297
2,FALL,61.07593407
3,FALL,60.21571429
4,FALL,61.32879121
5,FALL,67.31978022
6,FALL,73.17351648
7,FALL,79.90725275
8,FALL,80.41681319
9,FALL,77.9043956
10,FALL,76.03307692
11,FALL,72.22912088
12,FALL,70.38725275
13,FALL,72.56923077
14,FALL,75.28
15,FALL,77.82978022
16,FALL,78.6689011
17,FALL,83.27318681
18,FALL,90.39747253
19,FALL,83.41373626
20,FALL,74.7621978
21,FALL,71.25582418
22,FALL,67.56758242
23,FALL,66.9610989
0,WINTER,50.55277778
1,WINTER,46.59133333
2,WINTER,44.01511111
3,WINTER,42.411
4,WINTER,42.56033333
5,WINTER,45.81966667
6,WINTER,53.47866667
7,WINTER,59.17088889
8,WINTER,63.98255556
9,WINTER,63.57522222
10,WINTER,61.22622222
11,WINTER,59.80977778
12,WINTER,57.203
13,WINTER,55.84822222
14,WINTER,57.51522222
15,WINTER,59.78033333
16,WINTER,63.46488889
17,WINTER,68.24822222
18,WINTER,69.14044444
19,WINTER,66.95288889
20,WINTER,60.96277778
21,WINTER,57.46877778
22,WINTER,55.07033333
23,WINTER,51.35622222
